,N,trial_length
../DATA/processed/017pre_trial41.csv,6,5.498
../DATA/processed/004post_trial13.csv,3,5.488
../DATA/processed/020pre_trial54.csv,9,5.488
../DATA/processed/026pre_trial39.csv,6,5.492
../DATA/processed/001pre_trial35.csv,7,5.488
../DATA/processed/024pre_trial4.csv,10,5.498
../DATA/processed/008post_trial45.csv,8,5.49
../DATA/processed/009post_trial23.csv,2,5.502
../DATA/processed/014pre_trial22.csv,5,5.496
../DATA/processed/025pre_trial52.csv,20,5.488
../DATA/processed/023pre_trial2.csv,10,5.498
../DATA/processed/021pre_trial37.csv,9,5.498
../DATA/processed/025post_trial50.csv,4,5.498
../DATA/processed/005pre_trial7.csv,11,5.494
../DATA/processed/008pre_trial29.csv,7,5.498
../DATA/processed/014post_trial54.csv,5,5.496
../DATA/processed/001pre_trial36.csv,5,5.488
../DATA/processed/012post_trial50.csv,11,5.49
../DATA/processed/020post_trial7.csv,9,5.498
../DATA/processed/014post_trial8.csv,5,5.494
../DATA/processed/007pre_trial32.csv,14,5.496
../DATA/processed/019post_trial30.csv,4,5.5
../DATA/processed/001pre_trial4.csv,3,5.498
../DATA/processed/016post_trial31.csv,2,5.494
../DATA/processed/002pre_trial10.csv,7,5.492
../DATA/processed/006post_trial47.csv,7,5.492
../DATA/processed/023pre_trial33.csv,10,5.492
../DATA/processed/021post_trial58.csv,6,5.492
../DATA/processed/009pre_trial51.csv,7,5.496
../DATA/processed/021post_trial31.csv,6,5.498
../DATA/processed/004pre_trial57.csv,13,5.492
../DATA/processed/002pre_trial57.csv,6,5.49
../DATA/processed/016post_trial47.csv,3,5.486
../DATA/processed/023post_trial5.csv,6,5.498
../DATA/processed/020post_trial26.csv,12,5.5
../DATA/processed/025pre_trial5.csv,8,5.498
../DATA/processed/012post_trial56.csv,11,5.492
../DATA/processed/002pre_trial9.csv,6,5.494
../DATA/processed/017post_trial27.csv,7,5.498
../DATA/processed/007post_trial42.csv,7,5.498
../DATA/processed/005pre_trial4.csv,7,5.492
../DATA/processed/007pre_trial13.csv,5,5.5
../DATA/processed/020post_trial16.csv,6,5.494
../DATA/processed/013post_trial20.csv,3,5.498
../DATA/processed/021post_trial14.csv,8,5.498
../DATA/processed/020post_trial30.csv,3,5.502
../DATA/processed/014post_trial33.csv,4,5.498
../DATA/processed/022post_trial45.csv,7,5.49
../DATA/processed/002pre_trial37.csv,6,5.494
../DATA/processed/019pre_trial7.csv,8,5.498
../DATA/processed/021pre_trial43.csv,6,5.494
../DATA/processed/004pre_trial26.csv,8,5.488
../DATA/processed/017pre_trial21.csv,2,5.498
../DATA/processed/024pre_trial41.csv,15,5.49
../DATA/processed/024post_trial5.csv,12,5.488
../DATA/processed/023pre_trial10.csv,6,5.492
../DATA/processed/002post_trial33.csv,8,5.492
../DATA/processed/004pre_trial54.csv,0,5.49
../DATA/processed/023post_trial14.csv,7,5.492
../DATA/processed/004pre_trial24.csv,1,5.494
../DATA/processed/023post_trial7.csv,11,5.5
../DATA/processed/019pre_trial58.csv,7,5.492
../DATA/processed/023pre_trial37.csv,9,5.498
../DATA/processed/025post_trial55.csv,9,5.488
../DATA/processed/016post_trial7.csv,2,5.498
../DATA/processed/014pre_trial17.csv,6,5.5
../DATA/processed/007post_trial45.csv,6,5.488
../DATA/processed/025pre_trial29.csv,13,5.492
../DATA/processed/024post_trial30.csv,11,5.49
../DATA/processed/015pre_trial58.csv,7,5.492
../DATA/processed/007pre_trial26.csv,7,5.49
../DATA/processed/004post_trial21.csv,8,5.498
../DATA/processed/012post_trial16.csv,4,5.498
../DATA/processed/021pre_trial11.csv,9,5.49
../DATA/processed/013post_trial27.csv,6,5.488
../DATA/processed/019pre_trial33.csv,13,5.488
../DATA/processed/026post_trial40.csv,2,5.488
../DATA/processed/026post_trial45.csv,6,5.492
../DATA/processed/008post_trial12.csv,8,5.498
../DATA/processed/007post_trial48.csv,6,5.492
../DATA/processed/016pre_trial22.csv,5,5.49
../DATA/processed/007pre_trial43.csv,2,5.494
../DATA/processed/016pre_trial1.csv,1,5.494
../DATA/processed/022pre_trial25.csv,20,5.492
../DATA/processed/023pre_trial11.csv,9,5.496
../DATA/processed/020post_trial6.csv,14,5.488
../DATA/processed/002post_trial22.csv,3,5.498
../DATA/processed/019post_trial59.csv,6,5.49
../DATA/processed/024pre_trial58.csv,11,5.498
../DATA/processed/019post_trial22.csv,6,5.498
../DATA/processed/021post_trial23.csv,4,5.494
../DATA/processed/021post_trial45.csv,4,5.494
../DATA/processed/007post_trial2.csv,7,5.486
../DATA/processed/025pre_trial51.csv,9,5.492
../DATA/processed/020post_trial51.csv,12,5.488
../DATA/processed/007pre_trial44.csv,3,5.5
../DATA/processed/008pre_trial3.csv,7,5.492
../DATA/processed/022pre_trial4.csv,9,5.49
../DATA/processed/003pre_trial55.csv,3,5.494
../DATA/processed/004pre_trial34.csv,1,5.498
../DATA/processed/004post_trial58.csv,8,5.494
../DATA/processed/020pre_trial7.csv,4,5.502
../DATA/processed/002pre_trial45.csv,6,5.492
../DATA/processed/019post_trial9.csv,9,5.496
../DATA/processed/024pre_trial2.csv,8,5.488
../DATA/processed/014post_trial52.csv,3,5.498
../DATA/processed/001post_trial45.csv,3,5.5
../DATA/processed/019pre_trial31.csv,10,5.494
../DATA/processed/001post_trial54.csv,4,5.488
../DATA/processed/001post_trial41.csv,2,5.498
../DATA/processed/024pre_trial11.csv,19,5.498
../DATA/processed/007pre_trial56.csv,13,5.5
../DATA/processed/006post_trial27.csv,5,5.5
